date,amount,currency,vendor
2019-01-12,44.35,USD,Laurel Tavern
2016-12-07,142.93,USD,"Firepoint Grill, 3739 West Chester Pike, Newtown Square, PA 19013"
2017-08-21,50.8,USD,"Finnigan's Way Check 822819, 1344 Ocean Drive, Miami Beach, Florida 33139"
2018-10-20,23.46,USD,RED & HOT II
2017-08-09,26.96,MYR,AM Dining RM
2019-03-02,9.97,USD,BRASAS RESTAURANT
2018-11-04,14.06,USD,KAZ RAMEN
2016-05-26,56.58,USD,"5305 E PACIFIC COAST HWY, Long Beach, CA 90804"
2018-06-24,38.23,USD,POPEYE'S
2018-06-24,47.9,USD,"El Charro Cafe Ventana, 6910 E SUNRISE DR"
2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA WHERE HOSPITALITY EDUCATION TAKES LIFE
2023-06-16,80.45,USD,HMS Host
2018-01-25,56.5,USD,"BIG JO'S, 1955 Broadway, Santa Monica, CA 90404"
2019-06-16,50.38,USD,"Spiral Diner & Bakery, 608 E Hickory St, Denton, TX 76205"
2015-08-30,5.29,USD,"180 Eastern Boulevard, Canandaigua, NY 14424"
2015-06-06,33.92,USD,New Asia Buffet
2018-09-29,54.2,USD,FourthStreetMill
2017-09-27,7.61,USD,CARL'S JR
2016-10-04,10.7,USD,"45 MAIN STREET, HACKENSACK, NJ 07601"
2023-01-03,97.29,EUR,"STANWAY'S, LUKAJA, 96-98 TIBI"
2019-07-26,47.02,USD,Deccan Spice
2019-02-24,33.73,USD,"2988 N. Expressway, Brownsville, TX"
2016-07-08,21.73,USD,KFC
2023-09-17,142.01,USD,"NATIONAL ACCOUNTS, TRAIN"
2017-03-10,50.29,USD,"7285 Roswell Road, Sandy Springs, Georgia"
2018-06-24,22.03,USD,YUM'S RESTAURANT
2015-02-16,129.75,EUR,"2 Holloway Circus, Birmingham, B1 1BE"
2019-07-18,77.49,USD,"KICKIN KAJUN KAPOLEI, Ka Makana Aliʻi 91-5431 Kapolei Parkway, Suite 426 Kapolei, HI 96707"
2017-08-15,179.94,USD,SASKA'S
2018-07-02,235.19,USD,"Falmouth Raw Bar, 56 Scranton Ave, Falmouth, MA 02540"
2019-01-15,13.22,USD,5 FAIR Oaks Ave
2016-09-24,94.18,USD,Nancy's Restaurant
2019-11-02,55.39,USD,NJ 07022
2013-03-22,193.35,USD,null
2018-04-20,157.51,USD,"Calagero's, 919 Franklin Ave. Garden City, NY 11530"
2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173"
null,88.62,USD,"International Market Place, 2330 Kalakaua Ave Ste 326, Honolulu, Hawaii 96815"
2016-11-24,13.00,USD,NEW DELHI INDIAN RESTAURANT
2019-01-11,44.31,USD,"Longboards, 92-161 Waipahe Place, Kapolei, HI 96707"
