date,amount,currency,vendor
2018-09-07,17.8,USD,"Yogurtland, 12502 North Kendall Drive, Miami, FL 33186"
2019-07-21,33.75,USD,"Casa Rubia Cafe, 25-17 Astoria Blvd, Astoria, NY 11102"
2019-02-09,34.21,USD,12345 S 13th StWhite Center
2019-02-23,48.53,USD,"15700 Bellflower Blvd, Bellflower, CA 90706"
2018-03-08,46.4,USD,CHLOE81
2019-03-24,69.79,USD,NAANCHING
2017-12-29,64.52,USD,Mexican Restaurant & Bar
2014-11-02,19.19,USD,"Store #0134 2900 Playa Vista Blvd. Playa Beach, CA 90049"
2019-04-10,13.53,USD,Collector's Choice Restaurant
2018-10-06,33.75,USD,"1805 Parker Rd Suite G110, 18C5 Parker Rd (678) 690-2005"
2018-01-27,184.47,USD,"Columbus Restaurant, 736 Ocean Drive, Miami Beach, FL 33139"
2017-06-10,7.55,USD,LANDFALL RESTAURANT
2017-09-10,71.58,USD,"Heart of Portugal Restaurant, 241 Mineola Blvd, Mineola, NY 11501"
2023-06-06,57.4,USD,"888 8th Ave, New York, NY 10019"
2019-04-19,28.04,USD,"SUKHOTHAI SUSHI + ASIAN FUSION, 11735 SW 147 AVE UNIT 36 MIAMI, FL 33196"
2017-06-28,13.25,USD,EL POLLO LOCO
2017-09-19,10.81,USD,"Mesones De Cotorra, Calle 204, Av. Ernesto Tumbe"
2016-12-03,26.96,USD,"1130 North Higley Rd Suite#7-102, Mesa, AZ 85205"
2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314"
2017-08-25,154.78,USD,STK Miami Beach
2018-10-03,26.15,CAD,"McDonald's, 16725 Stony Plain Rd, Edmonton AB T5P 4A9"
2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580"
2017-06-14,27.62,USD,"BreadFish Cafe, 15848 Halliburton Rd, Hacienda Heights, CA 91745"
2018-10-29,37.37,USD,"383 Gellert Blvd., Daily City, CA 94015"
2013-08-12,13.26,USD,"12709 Beechnut St STE100, Houston, TX 77072"
2015-08-02,17.0,EUR,"la Source, Rue de la Paix 12, 1003 Lausanne"
2018-09-15,26.37,USD,Chili's Grill & Bar
2013-06-01,21.69,USD,"4469 SLAUSON AVEMaywood, CA 90270"
2019-05-18,15.03,USD,GOLDEN BOWL TERIYAKI
2015-04-25,69.25,USD,"GRAND LUX CAFE, Roosevelt Field"
2018-09-25,46.98,USD,"Covina, CA 91723"
2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040"
2018-11-10,53.23,USD,"Dominican Restaurant, 1019 Front St."
2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561"
2019-02-22,173.07,USD,"69838 HIGHWAY 111 RANCHO MIRAGE, CA 92270-2837"
2017-02-18,75.5,USD,"190 Jericho Tpke, Floral Park, NY 11001"
2016-10-06,333.72,USD,"Juniper & Ivy, 2228 Kettner Blvd, San Diego, CA 92101"
2018-11-05,143.71,USD,"Katana Sushi, 2818 Hewitt Ave, Everett, WA 98201"
2012-01-13,83.44,USD,Blue Bear Tavern
2017-06-13,75.15,USD,Lan Sheng
2018-11-01,91.45,USD,Daily Grill
2019-08-08,6.56,USD,SURATI FARSAN MART
2018-02-13,17.18,USD,"HIRO JAPANESE RESTAURANT, 3007 NE 163RD STREET, North Miami Beach, FL 33160"
2017-07-10,33.34,USD,Angelo's Pizza Restaurant
2017-01-07,42.16,USD,"Pappadeaux Seafood Kitchen, Pappadeaux Seafood Kitchen (612)7600 Airport Blvd (HOU)Houston, TX 77061"
2019-04-10,13.13,USD,"The Shawarma Factory, 14817 S. Western Ave, Gardena, CA 90249"
2016-04-15,16.24,USD,"OM INDIAN FOOD, 204 Spring St, New York, NY 10012"
2017-05-04,228.92,USD,"Pita Pita - Lombard, 211 E Roosevelt Rd, Lombard, IL 60148"
2017-12-17,83.5,USD,1660 India Street
2014-05-22,14.36,USD,"SmokeBoxBBQ, 2361 Whitney Ave, Hamden, CT 06518"
2018-06-02,29.96,USD,Golden Panda Buffet
2019-05-21,9.59,USD,"CHURCH'S, 7635 KIMEIKA"
2014-03-22,13.03,USD,"MOOYAH Burgers, Fries & Shakes #199"
2017-12-21,17.75,USD,"EL VALLÉ Mexican Restaurant, 305 W. John St. Matthews, NC 28105"
2018-08-18,160.07,USD,"Chelokababi, 1236 S Wolfe Rd, Sunnyvale, CA 94086"
2017-12-20,47.09,USD,(310) 278-2050
2015-08-22,46.39,USD,"Delmonico's Italian Steakhouse, 1663 Central Ave, Albany, NY 12205"
2015-03-14,62.7,USD,"Bay Road, Blue Hills"
2012-04-27,2.17,USD,IN-N-OUT BURGER SANTA CLARA
2019-02-19,14.18,USD,"Tay Ho Oakland, Elegant Vietnamese Cuisine"
2015-08-02,17.0,EUR,la Source
2017-06-16,30.15,USD,"2011 Hewitt Ave, Everett WA 98201"
2018-12-29,16.23,USD,Pokeatery CV
2014-10-21,313.49,USD,Paris Las Vegas
2022-12-26,65.14,USD,MIGUELS MEXICAN
2016-04-10,42.9,USD,"11700 Avenida Albasur, Albuquerque, NM"
2019-04-01,33.26,USD,"HP Pho Ga, 8930 Mission Dr. #102, Rosemead, CA 91770"
2016-04-24,11.04,USD,"4327 N. Expressway 77/83, Brownsville, TX 78521"
2018-07-22,51.82,USD,"7701 Atlantic Ave, Cudahy, CA"
2017-12-08,94.78,USD,"151 E 50th St, New York, NY 10022"
2019-07-14,82.0,EUR,Telefono 031/951688
2019-05-19,29.98,USD,"26902 92nd Ave NW, Suite A, Stanwood, WA 98292"
2017-04-20,5.35,USD,El Gran Mar de Plata
2018-09-06,73.24,USD,Via Mar Restaurant
2018-06-29,780.45,MYR,MITASU JAPANESE RESTAURANT SDN BHD
2018-01-23,45.79,USD,"Taco Maria, 3313 Hyland Ave, Ste C21, Costa Mesa, CA 92626"
,30.58,USD,WINGS & THINGS
2014-08-30,12.03,USD,IZZY'S
2016-09-01,7.61,USD,"7230 Pendleton Pike, Indianapolis, IN 46226"
2018-07-21,25.78,USD,"889 W. 190th Street, Los Angeles, CA 90248"
2014-12-21,25.94,USD,"Hialeah, FL 33010"
2017-05-12,45.58,USD,Ortega Pizzeria & Tavern
2016-11-12,117.0,USD,JBR
2019-08-06,34.12,USD,Villaggio Grille
2017-10-25,14.17,USD,"27000 Marine Ave #103, Redondo Beach, CA 90278"
2016-07-15,109.28,USD,"Buca di Beppo, Store#0511Universal City, CA 91608"
2019-07-03,4.99,USD,"401 Bergam St, Harrison, NJ 07029"
2013-03-16,164.89,USD,"Everett, WA"
2021-06-21,128.33,EUR,"Sara, Via Giovanni Boccaccio, 123 - 90069 West Hollywood, CA"
2016-04-07,439.85,USD,"DEL FRISCO'S S #8620, 1221 Avenue of the Americas New York, New York 10020"
2019-07-30,152.0,USD,"98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930"
2019-08-30,68.99,USD,"16530 BELLFLOWER BLVD BELLFLOWER, CA 90706"
2019-03-17,38.86,USD,"Araxi Burger Aventura, 17861 BISCAYNE BLVD Aventura, FL 33160"
2017-07-05,27.08,USD,MIGUELS MEXICAN RESTAURANT
2017-07-15,79.17,USD,"Rosebud on Rush, 720 North Rush Street, Chicago, IL"
2016-12-19,13.05,USD,"CARL'S JR., 8105 MADISON AVE"
2019-06-28,10.95,USD,"886 N. Garfield Ave, Montebello, CA 90640"
2017-07-06,617.0,INR,"Andhra Style Family Restaurant, Vidyaranayapura, Bangalore-560097"
2017-01-21,11.91,USD,Gourdough's Public House
2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019"
2017-08-24,16.56,USD,"Lalo's Mexican at Navy Pier, 600 E Grand Ave"
2015-07-03,7.56,USD,Bar Louie Huntsville
2018-08-28,34.0,EUR,"BAR RISTORANTE, STRADITTENUTO MARINO E TERMINE SIN MONTINO S.R.L."
2018-04-13,55.38,USD,ipanema Brazilian Steak House
,80.0,EUR,Primo Family Restaurant
2019-12-03,55.95,USD,"COMMANDER'S PALACE, 1427 WASHINGTON AVE., NEW ORLEANS, LA."
2023-06-26,64.43,USD,"Smoke City Market5242 Van Nuys BLVDSherman Oaks, CA 91401"
2018-03-18,67.89,USD,"Nick's Tuscan Grill, 149 Mineola Blvd, Mineola, NY 11501"
2017-07-16,144.28,USD,MIKUNI JAPANESE
2015-06-02,39.18,USD,SAGE
2019-01-24,9.58,USD,"CAFE PARISIEN LARCHMONT LLC, 242 N LARCHMONT BLVD LOS ANGELES, CA 90004"
2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560"
2017-10-01,84.78,USD,"237 Washington Hoboken, NJ"
2019-08-23,21.76,USD,El Gato Negro
2018-04-24,10.0,USD,Taco Time - Kenmore
2017-05-09,30.98,USD,RINCON MEXICANO
2017-05-25,32.66,USD,"FIVE GUYS, 2640 Rayford Rd, Spring, TX 77386"
2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561"
2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173"
2018-09-06,73.24,USD,"Via Mar Restaurant, 4105 Maine Ave, Baldwin park, CA 91706"
2019-01-24,9.58,USD,CAFE PARISIEN LARCHMONT LLC
2019-06-23,26.67,USD,"BK SOUL FOOD & CATERING, 11318 Yonkers Ave, Yonkers, NY 10704"
2019-04-01,33.26,USD,"8930 Mission Dr. #102, Rosemead, CA 91770"
2017-06-28,13.25,USD,"EL POLLO LOCO, 7519 S. ATLANTIC AVE. CUDÁHY, CA 90201"
2018-11-16,"93,58",USD,"Akira, 888 8th Ave, New York, NY 10019"
2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580"
2018-01-23,45.79,USD,Taco Maria
2016-12-07,142.93,USD,Firepoint Grill
2017-09-27,7.61,USD,"CARL'S JR, 11961 Beach Blvd.Stanton, CA 90680"
2019-07-30,152.00,USD,"ZOCA RESTAURANT, 98 GARFIELD PARKWAY, BETHANY BEACH, DE 19930"
2017-08-24,16.56,USD,600 E Grand Ave
2017-06-14,27.62,USD,"15848 Halliburton Rd, Hacienda Heights, CA 91745"
2018-06-30,154.0,USD,"Bombay Grill House, 764 9TH AVE NEW YORK, NY 10019"
2019-04-10,13.53,USD,"215 Cypress Ave, Snohomish, WA 98290"
2018-01-30,146.73,USD,"E. BALDI, 375 North Canon Drive, Beverly Hills, CA 90210"
2015-08-06,22.7,USD,East Hampton
2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040"
2016-11-24,13.00,USD,"Z3/7, Sita Ram Quay, Phnom Penh, Cambodia"
2017-12-17,83.5,USD,1660 India Street
2018-04-13,55.38,USD,"ipanema Brazilian Steak House, 2023 South Pine Avenue, Ocala, Florida 34471"
2018-03-08,46.4,USD,"81 Ludlow St, New York, NY 10002"
2017-09-23,85.07,USD,730 Tavern Kitchen & Patio
2019-08-30,68.99,USD,"KALAVERAS MEXICAN CUISINE & BAR, 16530 BELLFLOWER BLVD BELLFLOWER, CA 90706"
2018-10-25,26.76,USD,DINE_IN
2017-10-01,84.78,USD,Arthur's
2013-03-16,164.89,USD,"Everett, WA"
2019-05-18,15.03,USD,"GOLDEN BOWL TERIYAKI, 8610 Garfield Ave. South Gate, CA 90280"
2016-02-12,28.4,USD,"JT's Diner, 37011 Cook Street"
2018-10-29,37.37,USD,Moonstar Restaurant
2019-06-29,92.22,USD,"35201 Newark Blvd, Newark, CA 94560"
2014-05-22,14.36,USD,SmokeBoxBBQ
2019-04-19,28.04,USD,SUKHOTHAI SUSHI + ASIAN FUSION
2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314"
2018-09-15,26.37,USD,Chili's Grill & Bar
2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA RUSSELL'S RESTAURANT
2016-11-12,117.0,USD,JBR
2019-01-12,44.35,USD,Laurel Tavern
2016-12-07,142.93,USD,"Firepoint Grill, 3739 West Chester Pike, Newtown Square, PA 19013"
2017-08-21,50.8,USD,"Finnigan's Way Check 822819, 1344 Ocean Drive, Miami Beach, Florida 33139"
2018-10-20,23.46,USD,RED & HOT II
2017-08-09,26.96,MYR,AM Dining RM
2019-03-02,9.97,USD,BRASAS RESTAURANT
2018-11-04,14.06,USD,KAZ RAMEN
2016-05-26,56.58,USD,"5305 E PACIFIC COAST HWY, Long Beach, CA 90804"
2018-06-24,38.23,USD,POPEYE'S
2018-06-24,47.9,USD,"El Charro Cafe Ventana, 6910 E SUNRISE DR"
2014-10-08,9.7,USD,COLLEGE OF SOUTHERN NEVADA WHERE HOSPITALITY EDUCATION TAKES LIFE
2023-06-16,80.45,USD,HMS Host
2018-01-25,56.5,USD,"BIG JO'S, 1955 Broadway, Santa Monica, CA 90404"
2019-06-16,50.38,USD,"Spiral Diner & Bakery, 608 E Hickory St, Denton, TX 76205"
2015-08-30,5.29,USD,"180 Eastern Boulevard, Canandaigua, NY 14424"
2015-06-06,33.92,USD,New Asia Buffet
2018-09-29,54.2,USD,FourthStreetMill
2017-09-27,7.61,USD,CARL'S JR
2016-10-04,10.7,USD,"45 MAIN STREET, HACKENSACK, NJ 07601"
2023-01-03,97.29,EUR,"STANWAY'S, LUKAJA, 96-98 TIBI"
2019-07-26,47.02,USD,Deccan Spice
2019-02-24,33.73,USD,"2988 N. Expressway, Brownsville, TX"
2016-07-08,21.73,USD,KFC
2023-09-17,142.01,USD,"NATIONAL ACCOUNTS, TRAIN"
2017-03-10,50.29,USD,"7285 Roswell Road, Sandy Springs, Georgia"
2018-06-24,22.03,USD,YUM'S RESTAURANT
2015-02-16,129.75,EUR,"2 Holloway Circus, Birmingham, B1 1BE"
2019-07-18,77.49,USD,"KICKIN KAJUN KAPOLEI, Ka Makana Aliʻi 91-5431 Kapolei Parkway, Suite 426 Kapolei, HI 96707"
2017-08-15,179.94,USD,SASKA'S
2018-07-02,235.19,USD,"Falmouth Raw Bar, 56 Scranton Ave, Falmouth, MA 02540"
2019-01-15,13.22,USD,5 FAIR Oaks Ave
2016-09-24,94.18,USD,Nancy's Restaurant
2019-11-02,55.39,USD,NJ 07022
2013-03-22,193.35,USD,
2018-04-20,157.51,USD,"Calagero's, 919 Franklin Ave. Garden City, NY 11530"
2019-12-08,10.9,USD,"22825 Huron River Dr, Rockwood, MI 48173"
,88.62,USD,"International Market Place, 2330 Kalakaua Ave Ste 326, Honolulu, Hawaii 96815"
2016-11-24,13.0,USD,NEW DELHI INDIAN RESTAURANT
2019-01-11,44.31,USD,"Longboards, 92-161 Waipahe Place, Kapolei, HI 96707"
,24.47,USD,Dona Mercedes Restaurant
,9.58,USD,"11732 ARTESIA BLVD. ARTESIA, CA."
,40.3,USD,"18128 Pioneer Blvd, Artesia, CA 90701"
,10.23,USD,"Golden Coin, 94-450 Ukee St, Waipahu, HI 96797"
,47.7,USD,"744 South Perry St. Unit EF CASTLE ROCK, CO 80104"
